draw_index,game_code,draw_date,draw_time,combination,sum,mean,minimum,maximum,span,even_count,odd_count,low_count,high_count,unique_values,adjacent_consecutive_pairs,shared_values_with_previous_draw
104,SL49,2024-08-25,21:00,02-20-23-31-36-41,153,25.5,2,41,39,3,3,3,3,6,0,2
105,SL49,2024-08-27,21:00,25-33-42-43-45-46,234,39,25,46,21,2,4,1,5,6,2,0
106,SL49,2024-08-29,21:00,01-03-09-10-32-44,99,16.5,1,44,43,3,3,4,2,6,1,0
107,SL49,2024-09-01,21:00,04-16-20-28-44-48,160,26.667,4,48,44,6,0,3,3,6,0,1
108,SL49,2024-09-03,21:00,01-11-13-18-20-44,107,17.833,1,44,43,3,3,5,1,6,0,2
109,SL49,2024-09-05,21:00,09-12-28-42-44-49,184,30.667,9,49,40,4,2,2,4,6,0,1
110,SL49,2024-09-08,21:00,03-07-35-38-43-49,175,29.167,3,49,46,1,5,2,4,6,0,1
111,SL49,2024-09-10,21:00,02-13-17-19-35-45,131,21.833,2,45,43,1,5,4,2,6,0,1
112,SL49,2024-09-12,21:00,05-12-18-24-38-44,141,23.5,5,44,39,5,1,4,2,6,0,0
113,SL49,2024-09-15,21:00,09-15-19-21-25-32,121,20.167,9,32,23,1,5,5,1,6,0,0
114,SL49,2024-09-17,21:00,18-19-26-32-41-45,181,30.167,18,45,27,3,3,2,4,6,1,2
115,SL49,2024-09-19,21:00,03-05-15-24-32-38,117,19.5,3,38,35,3,3,4,2,6,0,1
116,SL49,2024-09-22,21:00,06-10-18-35-45-47,161,26.833,6,47,41,3,3,3,3,6,0,0
117,SL49,2024-09-24,21:00,09-19-36-39-46-49,198,33,9,49,40,2,4,2,4,6,0,0
118,SL49,2024-09-26,21:00,06-20-25-30-39-46,166,27.667,6,46,40,4,2,3,3,6,0,2
119,SL49,2024-09-29,21:00,03-15-21-26-39-45,149,24.833,3,45,42,1,5,3,3,6,0,1
120,SL49,2024-10-03,21:00,16-21-26-27-41-44,175,29.167,16,44,28,3,3,2,4,6,1,2
121,SL49,2024-10-06,21:00,01-06-09-23-36-42,117,19.5,1,42,41,3,3,4,2,6,0,0
122,SL49,2024-10-08,21:00,03-08-12-14-21-36,94,15.667,3,36,33,4,2,5,1,6,0,1
123,SL49,2024-10-10,21:00,05-16-31-41-43-45,181,30.167,5,45,40,1,5,2,4,6,0,0
124,SL49,2024-10-13,21:00,15-19-38-41-44-48,205,34.167,15,48,33,3,3,2,4,6,0,1
