draw_index,game_code,draw_date,draw_time,combination,sum,mean,minimum,maximum,span,even_count,odd_count,low_count,high_count,unique_values,adjacent_consecutive_pairs,shared_values_with_previous_draw
78,GL55,2024-06-26,21:00,13-17-20-22-41-52,165,27.5,13,52,39,3,3,4,2,6,0,0
79,GL55,2024-06-29,21:00,04-06-12-43-48-51,164,27.333,4,51,47,4,2,3,3,6,0,0
80,GL55,2024-07-01,21:00,09-21-23-28-30-46,157,26.167,9,46,37,3,3,4,2,6,0,0
81,GL55,2024-07-03,21:00,29-43-44-47-51-52,266,44.333,29,52,23,2,4,0,6,6,2,0
82,GL55,2024-07-06,21:00,04-11-19-20-51-53,158,26.333,4,53,49,2,4,4,2,6,1,1
83,GL55,2024-07-08,21:00,22-28-33-34-43-46,206,34.333,22,46,24,4,2,2,4,6,1,0
84,GL55,2024-07-10,21:00,08-20-30-35-41-46,180,30,8,46,38,4,2,2,4,6,0,1
85,GL55,2024-07-13,21:00,21-23-32-37-45-55,213,35.5,21,55,34,1,5,2,4,6,0,0
86,GL55,2024-07-15,21:00,08-09-10-21-28-35,111,18.5,8,35,27,3,3,5,1,6,2,1
87,GL55,2024-07-17,21:00,03-25-34-40-43-44,189,31.5,3,44,41,3,3,2,4,6,1,0
88,GL55,2024-07-20,21:00,21-33-37-40-42-52,225,37.5,21,52,31,3,3,1,5,6,0,1
89,GL55,2024-07-22,21:00,07-16-25-27-30-54,159,26.5,7,54,47,3,3,4,2,6,0,0
90,GL55,2024-07-24,21:00,02-03-04-16-40-44,109,18.167,2,44,42,5,1,4,2,6,2,1
91,GL55,2024-07-27,21:00,16-25-39-41-43-45,209,34.833,16,45,29,1,5,2,4,6,0,1
92,GL55,2024-07-29,21:00,05-22-23-35-46-52,183,30.5,5,52,47,3,3,3,3,6,1,0
93,GL55,2024-07-31,21:00,23-32-36-37-42-48,218,36.333,23,48,25,4,2,1,5,6,1,1
94,GL55,2024-08-03,21:00,01-04-28-30-35-49,147,24.5,1,49,48,3,3,3,3,6,0,0
95,GL55,2024-08-05,21:00,16-20-35-39-51-53,214,35.667,16,53,37,2,4,2,4,6,0,1
96,GL55,2024-08-07,21:00,13-16-24-29-40-47,169,28.167,13,47,34,3,3,3,3,6,0,1
97,GL55,2024-08-10,21:00,13-35-38-49-52-55,242,40.333,13,55,42,2,4,1,5,6,0,1
98,GL55,2024-08-12,21:00,06-08-10-34-42-53,153,25.5,6,53,47,5,1,3,3,6,0,0
99,GL55,2024-08-14,21:00,03-04-05-20-26-30,88,14.667,3,30,27,4,2,5,1,6,2,0
100,GL55,2024-08-17,21:00,25-27-28-29-35-53,197,32.833,25,53,28,1,5,3,3,6,2,0
101,GL55,2024-08-19,21:00,01-21-31-36-52-53,194,32.333,1,53,52,2,4,2,4,6,1,1
102,GL55,2024-08-21,21:00,11-18-38-43-45-46,201,33.5,11,46,35,3,3,2,4,6,1,0
103,GL55,2024-08-24,21:00,13-15-16-40-42-44,170,28.333,13,44,31,4,2,3,3,6,1,0
104,GL55,2024-08-26,21:00,09-16-27-38-39-45,174,29,9,45,36,2,4,3,3,6,1,1
105,GL55,2024-08-28,21:00,21-33-37-40-49-50,230,38.333,21,50,29,2,4,1,5,6,1,0
106,GL55,2024-08-31,21:00,01-03-10-11-16-51,92,15.333,1,51,50,2,4,5,1,6,1,0
107,GL55,2024-09-02,21:00,07-08-13-40-44-50,162,27,7,50,43,4,2,3,3,6,1,0
108,GL55,2024-09-04,21:00,03-07-17-22-32-45,126,21,3,45,42,2,4,4,2,6,0,1
109,GL55,2024-09-07,21:00,03-17-20-24-31-47,142,23.667,3,47,44,2,4,4,2,6,0,2
110,GL55,2024-09-09,21:00,09-23-27-34-41-45,179,29.833,9,45,36,1,5,3,3,6,0,0
